App Date,Area,Department,Customer ID,Product,Agreement No,Adv Date,SLA,Process,Advance,Business Channel,QC Theme,MoR,Human/Non Human Error
44165,South East,Personal Finance,C0064786,Leasing,A55655303,44177,Inside,Documentation,34804,Broker,No Issue,,
44152,South East,Personal Finance,C0073335,Leasing,A72904473,44160,Inside,Payments,96094,Direct,No Issue,,
44149,North,Personal Finance,C0041790,Personal Loan,A29251292,44163,Outside,Documentation,17855,Broker,No Issue,,
44157,South East,Commercial Finance,C0086069,Leasing,A65836938,44173,Outside,Documentation,8858,Broker,Regulatory,Telephone,Non Human Error
44150,North East,Commercial Finance,C0094733,Leasing,A88983450,44158,Inside,Underwriting,44547,Direct,No Issue,,
44155,North West,Corporate Finance,C0023943,Hire Purchase,A64988557,44168,Inside,Collections,76872,Referrals,Decision,E-mail,Human Error
44152,South West,Commercial Finance,C0060135,Commercial Loan,A65127780,44159,Inside,Application,83958,Referrals,Documentation,Mobile Chat,Human Error
44157,Scotland,Personal Finance,C0053677,Leasing,A72005187,44164,Inside,Underwriting,67615,Direct,Documentation,Telephone,Human Error
44146,North West,Commercial Finance,C0034550,Contract Hire,A92648339,44155,Inside,Collections,43449,Direct,Regulatory,Web Chat,Human Error
44153,North West,Personal Finance,C0079020,Personal Loan,A61835201,44167,Outside,Collections,95494,Referrals,No Issue,,
44165,Wales,Personal Finance,C0058256,Leasing,A80474758,44181,Outside,Collections,29670,Direct,No Issue,,
44155,Scotland,Commercial Finance,C0044349,Leasing,A39977869,44164,Inside,Payments,55785,Referrals,No Issue,,
44150,North East,Corporate Finance,C0051105,Hire Purchase,A58888884,44164,Outside,Documentation,81933,Referrals,No Issue,,
44149,North,Commercial Finance,C0066691,Hire Purchase,A87644615,44164,Outside,Underwriting,47107,Referrals,No Issue,,
44139,South East,Commercial Finance,C0080905,Commercial Loan,A52232444,44145,Inside,Quality Control,34073,Direct,No Issue,,
44142,North West,Personal Finance,C0047717,Personal Loan,A94024137,44159,Outside,Application,66407,Referrals,No Issue,,
44159,North West,Personal Finance,C0083743,Hire Purchase,A70916162,44175,Outside,Payments,29356,Referrals,No Issue,,
44151,Wales,Corporate Finance,C0048083,Leasing,A38264937,44162,Inside,Quality Control,43240,Direct,No Issue,,
44147,North,Corporate Finance,C0066194,Contract Hire,A42159306,44163,Outside,Validation,75560,Direct,Decision,Telephone,Non Human Error
44154,Wales,Personal Finance,C0090113,Leasing,A78550149,44166,Inside,Collections,59631,Direct,No Issue,,
44143,South East,Corporate Finance,C0086124,Contract Hire,A74095643,44152,Inside,Payments,48962,Direct,No Issue,,
44141,North East,Commercial Finance,C0050472,Commercial Loan,A63003064,44158,Outside,Quality Control,98943,Direct,Payments,Web Chat,Non Human Error
44164,Wales,Corporate Finance,C0091947,Hire Purchase,A69184089,44171,Inside,Documentation,65124,Direct,Documentation,Social Media,Human Error
44157,South East,Personal Finance,C0033390,Personal Loan,A89123048,44164,Inside,KYC,96728,Referrals,No Issue,,
44153,South West,Corporate Finance,C0069871,Leasing,A76948293,44163,Inside,Underwriting,47573,Direct,Decision,E-mail,Human Error
44162,North West,Corporate Finance,C0021542,Corporate Loan,A87478813,44170,Inside,Application,45052,Direct,No Issue,,
44158,Wales,Personal Finance,C0030781,Hire Purchase,A43819857,44164,Inside,Documentation,39903,Direct,No Issue,,
44165,South East,Personal Finance,C0050377,Personal Loan,A41082302,44180,Outside,Payments,49117,Referrals,No Issue,,
44148,Midlands,Corporate Finance,C0053393,Contract Hire,A61400948,44162,Outside,Quality Control,88519,Direct,No Issue,,
44139,South East,Corporate Finance,C0050646,Corporate Loan,A39116111,44153,Outside,KYC,93118,Broker,No Issue,,
44156,Scotland,Corporate Finance,C0031421,Contract Hire,A60705207,44171,Outside,Validation,93192,Direct,No Issue,,
44138,North East,Commercial Finance,C0030573,Hire Purchase,A63333890,44155,Outside,Documentation,24821,Referrals,No Issue,,
44156,South East,Personal Finance,C0070711,Hire Purchase,A47726585,44169,Inside,Quality Control,87200,Broker,No Issue,,
44137,North East,Corporate Finance,C0019426,Corporate Loan,A32581813,44149,Inside,Documentation,78967,Direct,Regulatory,Web Chat,Human Error
44145,North East,Corporate Finance,C0073963,Corporate Loan,A32677662,44152,Inside,Payments,17193,Direct,No Issue,,
44160,South East,Personal Finance,C0066403,Hire Purchase,A30730128,44166,Inside,Documentation,14817,Referrals,Sales,Mobile Chat,Human Error
44143,North East,Corporate Finance,C0086446,Hire Purchase,A78848194,44152,Inside,Payments,83888,Referrals,No Issue,,
44152,South West,Personal Finance,C0021171,Personal Loan,A52255066,44164,Inside,Application,99438,Referrals,No Issue,,
44138,South East,Corporate Finance,C0042066,Contract Hire,A94965907,44150,Inside,Payments,12094,Referrals,Decision,Face to Face,Non Human Error
44154,Wales,Personal Finance,C0089620,Personal Loan,A87071434,44170,Outside,Documentation,99345,Referrals,No Issue,,
44146,North West,Corporate Finance,C0085851,Hire Purchase,A69366814,44158,Inside,Documentation,74483,Referrals,No Issue,,
44138,South West,Commercial Finance,C0055631,Hire Purchase,A81206631,44144,Inside,Quality Control,77350,Referrals,No Issue,,
44154,North,Commercial Finance,C0032356,Leasing,A38729732,44168,Outside,Application,99419,Broker,Regulatory,Social Media,Human Error
44155,North West,Personal Finance,C0091495,Personal Loan,A84642869,44172,Outside,Validation,17837,Broker,Sales,Web Chat,Human Error
44152,South West,Personal Finance,C0035247,Hire Purchase,A44509944,44162,Inside,Collections,2008,Referrals,Payments,Web Chat,Human Error
44164,North,Personal Finance,C0034639,Hire Purchase,A44968676,44176,Inside,Quality Control,93443,Referrals,No Issue,,
44147,Wales,Personal Finance,C0080404,Leasing,A36561804,44155,Inside,Payments,82084,Referrals,No Issue,,
44143,South East,Corporate Finance,C0066287,Corporate Loan,A82076831,44158,Outside,KYC,30723,Referrals,No Issue,,
44165,South West,Commercial Finance,C0095112,Commercial Loan,A62437462,44172,Inside,Underwriting,60683,Broker,No Issue,,
44137,North East,Corporate Finance,C0062389,Leasing,A91838212,44147,Inside,Underwriting,44536,Referrals,No Issue,,
44138,Midlands,Commercial Finance,C0056170,Commercial Loan,A63874316,44144,Inside,Quality Control,86008,Referrals,Sales,Mobile Chat,Human Error
44165,North,Commercial Finance,C0039735,Commercial Loan,A64410133,44175,Inside,Collections,9740,Broker,No Issue,,
44147,North East,Personal Finance,C0094927,Personal Loan,A49982465,44158,Inside,Underwriting,83772,Referrals,No Issue,,
44157,Midlands,Personal Finance,C0097293,Leasing,A67608055,44164,Inside,Application,93873,Broker,No Issue,,
44154,North East,Personal Finance,C0062121,Hire Purchase,A63587601,44167,Inside,Application,93913,Broker,No Issue,,
44146,North West,Corporate Finance,C0080926,Hire Purchase,A59409594,44156,Inside,Documentation,75936,Direct,No Issue,,
44147,Wales,Commercial Finance,C0041724,Contract Hire,A66024577,44158,Inside,Underwriting,63835,Referrals,No Issue,,
44142,South East,Commercial Finance,C0023462,Commercial Loan,A31475052,44149,Inside,Validation,2486,Broker,No Issue,,
44154,Scotland,Commercial Finance,C0031898,Commercial Loan,A40369482,44163,Inside,Underwriting,80585,Referrals,Regulatory,Web Chat,Human Error
44158,South East,Personal Finance,C0046413,Personal Loan,A67863234,44173,Outside,Underwriting,64440,Direct,No Issue,,
44149,North West,Corporate Finance,C0056732,Corporate Loan,A83486979,44159,Inside,Documentation,24955,Broker,No Issue,,
44145,North West,Corporate Finance,C0031745,Leasing,A44210622,44159,Outside,Documentation,69102,Broker,No Issue,,
44160,North West,Personal Finance,C0022970,Leasing,A37908705,44171,Inside,Quality Control,56995,Broker,No Issue,,
44148,North West,Personal Finance,C0061936,Hire Purchase,A86507670,44163,Outside,Quality Control,88175,Direct,No Issue,,
44163,North East,Personal Finance,C0040238,Personal Loan,A89586544,44171,Inside,Collections,80738,Direct,No Issue,,
44150,Wales,Corporate Finance,C0019590,Corporate Loan,A69587764,44156,Inside,Collections,15485,Direct,Documentation,Mail,Non Human Error
44154,North West,Corporate Finance,C0053808,Corporate Loan,A91148446,44169,Outside,Application,67673,Referrals,Payments,Face to Face,Non Human Error
44161,Scotland,Corporate Finance,C0064633,Hire Purchase,A46903547,44178,Outside,Payments,62827,Direct,No Issue,,
44162,Midlands,Personal Finance,C0069257,Personal Loan,A52599549,44169,Inside,Payments,4129,Direct,No Issue,,
44159,North East,Personal Finance,C0087970,Leasing,A29938737,44169,Inside,Underwriting,37246,Referrals,Decision,Mail,Human Error
44147,Wales,Personal Finance,C0053221,Personal Loan,A97483504,44159,Inside,Collections,54350,Direct,No Issue,,
44164,North,Commercial Finance,C0049969,Leasing,A96922430,44172,Inside,Validation,85564,Direct,No Issue,,
44158,Midlands,Corporate Finance,C0075860,Contract Hire,A54190673,44172,Outside,Quality Control,39368,Broker,No Issue,,
44155,Midlands,Commercial Finance,C0081524,Hire Purchase,A73795080,44161,Inside,Documentation,43417,Direct,No Issue,,
44155,South East,Personal Finance,C0096998,Personal Loan,A44218043,44164,Inside,Payments,47352,Broker,No Issue,,
44164,South East,Commercial Finance,C0043400,Leasing,A72469316,44171,Inside,Quality Control,12401,Referrals,No Issue,,
44137,Wales,Personal Finance,C0055836,Leasing,A35208856,44147,Inside,KYC,14307,Referrals,No Issue,,
44162,Scotland,Commercial Finance,C0057219,Commercial Loan,A84060347,44175,Inside,Collections,81856,Broker,No Issue,,
44138,North East,Corporate Finance,C0095415,Contract Hire,A54215872,44154,Outside,Payments,2008,Referrals,No Issue,,
44150,Wales,Personal Finance,C0031543,Personal Loan,A89111070,44157,Inside,Collections,44590,Broker,No Issue,,
44149,South East,Personal Finance,C0033158,Personal Loan,A67123205,44162,Inside,Validation,46350,Broker,No Issue,,
44159,South East,Personal Finance,C0094912,Leasing,A66346844,44168,Inside,KYC,38853,Referrals,Documentation,Mobile Chat,Non Human Error
44138,Midlands,Corporate Finance,C0097665,Contract Hire,A74668292,44149,Inside,Documentation,64497,Direct,No Issue,,
44154,Scotland,Commercial Finance,C0078461,Contract Hire,A45623074,44169,Outside,Documentation,11838,Broker,No Issue,,
44148,Midlands,Corporate Finance,C0076901,Corporate Loan,A53463012,44159,Inside,KYC,60100,Broker,No Issue,,
44139,North,Commercial Finance,C0079464,Contract Hire,A41565814,44154,Outside,Validation,19619,Broker,No Issue,,
44142,Wales,Commercial Finance,C0095494,Commercial Loan,A93013188,44149,Inside,Application,26687,Broker,Decision,E-mail,Non Human Error
44156,South East,Personal Finance,C0050390,Hire Purchase,A51018352,44167,Inside,KYC,39118,Direct,Sales,Social Media,Human Error
44142,Midlands,Personal Finance,C0059064,Hire Purchase,A80779817,44150,Inside,Underwriting,23806,Broker,No Issue,,
44160,North East,Personal Finance,C0056593,Leasing,A32205160,44173,Inside,Validation,39345,Broker,No Issue,,
44160,North,Commercial Finance,C0057198,Hire Purchase,A68743203,44175,Outside,Documentation,43629,Referrals,Payments,Face to Face,Human Error
44137,Midlands,Commercial Finance,C0043629,Contract Hire,A95708011,44147,Inside,Documentation,55377,Direct,No Issue,,
44165,North West,Corporate Finance,C0044423,Corporate Loan,A44348803,44173,Inside,Collections,78947,Broker,No Issue,,
44153,South East,Personal Finance,C0061721,Leasing,A44087371,44166,Inside,Payments,30971,Direct,No Issue,,
44161,South West,Corporate Finance,C0055451,Leasing,A73266092,44175,Outside,KYC,49165,Direct,No Issue,,
44149,North,Personal Finance,C0092511,Hire Purchase,A40792143,44162,Inside,Application,14101,Referrals,Decision,Mobile Chat,Non Human Error
44136,North West,Personal Finance,C0032094,Personal Loan,A74369593,44153,Outside,Payments,91891,Direct,Sales,Mobile Chat,Non Human Error
44141,North,Corporate Finance,C0082533,Corporate Loan,A60160768,44149,Inside,Quality Control,48119,Referrals,No Issue,,
44147,Wales,Personal Finance,C0078439,Hire Purchase,A72127405,44157,Inside,Underwriting,82786,Direct,No Issue,,
44142,South East,Commercial Finance,C0071202,Commercial Loan,A34805122,44149,Inside,Application,79595,Referrals,No Issue,,
44164,North West,Personal Finance,C0069112,Personal Loan,A42752283,44174,Inside,KYC,38837,Referrals,No Issue,,
44153,South East,Personal Finance,C0084494,Hire Purchase,A72142792,44163,Inside,Validation,22871,Referrals,Decision,Mobile Chat,Non Human Error
44150,Midlands,Personal Finance,C0084344,Leasing,A42982586,44157,Inside,Payments,85942,Broker,No Issue,,
44149,North,Commercial Finance,C0050836,Hire Purchase,A30236081,44162,Inside,Documentation,8014,Referrals,Payments,Web Chat,Non Human Error
44146,South East,Commercial Finance,C0049395,Hire Purchase,A68395942,44153,Inside,Collections,43196,Referrals,Sales,Face to Face,Non Human Error
44164,North East,Personal Finance,C0034705,Hire Purchase,A52743504,44179,Outside,Collections,11567,Broker,No Issue,,
44161,South West,Personal Finance,C0078740,Personal Loan,A86115103,44175,Outside,Application,60990,Direct,Sales,E-mail,Human Error
44141,Midlands,Corporate Finance,C0026758,Hire Purchase,A84792078,44152,Inside,Payments,79767,Broker,Regulatory,Web Chat,Human Error
44150,South West,Commercial Finance,C0057117,Hire Purchase,A81134547,44157,Inside,KYC,60196,Broker,No Issue,,
44157,Scotland,Commercial Finance,C0086852,Contract Hire,A50057875,44165,Inside,Documentation,11469,Broker,No Issue,,
44149,North East,Commercial Finance,C0061539,Leasing,A38808887,44155,Inside,Validation,81717,Direct,No Issue,,
44136,North,Corporate Finance,C0083005,Corporate Loan,A35952735,44143,Inside,Payments,35545,Referrals,No Issue,,
44150,North East,Corporate Finance,C0082365,Leasing,A62532018,44167,Outside,Quality Control,48792,Broker,No Issue,,
44165,Scotland,Corporate Finance,C0051695,Corporate Loan,A58508885,44177,Inside,Collections,35800,Referrals,No Issue,,
